Date,TSLA,MARA,PLTR,NIO,LU,AFRM,PLUG,F,NVDA,RIVN,LCID,AMZN,SOFI,AAL,RIOT,BBD,AAPL,GOLD,BAC,AMD,PDD,WBD,LYFT,PCG,PFE
2018-09-17,19.6560001373291,3.319999933242798,,8.5,,,1.8300000429153442,9.550000190734863,68.48249816894531,,,95.40149688720703,,40.31999969482422,3.809999942779541,5.775000095367432,54.470001220703125,10.350000381469727,30.280000686645508,32.43000030517578,24.360000610351562,32.02000045776367,,46.81999969482422,40.806453704833984
2018-09-18,18.997333526611328,3.440000057220459,,7.679999828338623,,,1.909999966621399,9.579999923706055,67.75499725341797,,,97.05249786376953,,40.790000915527344,3.890000104904175,5.775000095367432,54.560001373291016,10.479999542236328,30.209999084472656,31.93000030517578,22.639999389648438,31.579999923706055,,47.20000076293945,41.28083419799805
2018-09-19,19.934667587280273,3.319999933242798,,8.5,,,1.8899999856948853,9.779999732971191,67.99500274658203,,,96.32099914550781,,41.599998474121094,4.119999885559082,5.816667079925537,54.592498779296875,10.600000381469727,31.0,31.209999084472656,23.0,32.04999923706055,,46.709999084472656,41.043643951416016
2018-09-20,19.8886661529541,3.319999933242798,,8.779999732971191,,,1.9299999475479126,9.8100004196167,66.56999969482422,,,97.21499633789062,,41.88999938964844,4.090000152587891,5.900000095367432,55.00749969482422,10.619999885559082,31.190000534057617,31.18000030517578,24.649999618530273,32.2599983215332,,46.91999816894531,41.50853729248047
2018-09-21,19.940000534057617,3.2799999713897705,,8.59000015258789,,,1.899999976158142,9.850000381469727,65.86250305175781,,,95.75050354003906,,43.599998474121094,3.990000009536743,6.025000095367432,54.415000915527344,10.470000267028809,31.030000686645508,31.020000457763672,25.600000381469727,31.799999237060547,,46.790000915527344,41.80265808105469
2018-09-24,19.978666305541992,3.0399999618530273,,7.869999885559082,,,1.8799999952316284,9.59000015258789,66.42500305175781,,,96.71800231933594,,41.97999954223633,4.079999923706055,5.816667079925537,55.1974983215332,11.039999961853027,30.739999771118164,32.61000061035156,26.489999771118164,31.90999984741211,,46.279998779296875,41.679317474365234
2018-09-25,20.06599998474121,2.9200000762939453,,7.579999923706055,,,1.9700000286102295,9.390000343322754,67.10250091552734,,,98.72750091552734,,40.810001373291016,3.950000047683716,5.808332920074463,55.54750061035156,11.180000305175781,30.670000076293945,32.56999969482422,26.940000534057617,31.549999237060547,,45.84000015258789,41.54648971557617
2018-09-26,20.6386661529541,3.0799999237060547,,7.5,,,1.9199999570846558,9.270000457763672,66.7300033569336,,,98.74250030517578,,41.040000915527344,3.819999933242798,5.891666889190674,55.10499954223633,10.850000381469727,30.1299991607666,32.189998626708984,26.059999465942383,31.510000228881836,,45.15999984741211,41.44212341308594
2018-09-27,20.501333236694336,3.0799999237060547,,7.010000228881836,,,1.899999976158142,9.229999542236328,66.8499984741211,,,100.64900207519531,,41.5,3.7799999713897705,6.066667079925537,56.23749923706055,11.130000114440918,29.940000534057617,32.59000015258789,26.329999923706055,31.90999984741211,,45.27000045776367,41.65085220336914
2018-09-28,17.65133285522461,2.9200000762939453,,6.980000019073486,,,1.9199999570846558,9.25,70.25499725341797,,,100.1500015258789,,41.33000183105469,3.6500000953674316,5.900000095367432,56.435001373291016,11.079999923706055,29.459999084472656,30.889999389648438,26.290000915527344,32.0,,46.0099983215332,41.8121452331543
2018-10-01,20.713333129882812,2.880000114440918,,6.599999904632568,,,1.9299999475479126,9.319999694824219,72.33999633789062,,,100.21800231933594,,39.61000061035156,3.450000047683716,5.866666793823242,56.814998626708984,11.140000343322754,29.649999618530273,31.420000076293945,27.690000534057617,32.41999816894531,,45.869998931884766,42.00189971923828
2018-10-02,20.06800079345703,2.759999990463257,,5.929999828338623,,,1.899999976158142,9.199999809265137,71.62000274658203,,,98.56549835205078,,38.5,3.4200000762939453,6.308332920074463,57.31999969482422,11.6899995803833,29.579999923706055,29.020000457763672,25.65999984741211,32.86000061035156,,47.41999816894531,41.95446014404297
2018-10-03,19.65333366394043,2.680000066757202,,6.300000190734863,,,1.899999976158142,9.130000114440918,71.68250274658203,,,97.63800048828125,,38.79999923706055,3.431999921798706,6.6666669845581055,58.01750183105469,11.619999885559082,30.0,28.43000030517578,26.280000686645508,33.31999969482422,,47.20000076293945,42.51423263549805
2018-10-04,18.788667678833008,2.799999952316284,,6.25,,,1.8700000047683716,9.149999618530273,69.82250213623047,,,95.47100067138672,,37.91999816894531,3.359999895095825,6.6666669845581055,56.997501373291016,11.649999618530273,30.43000030517578,27.780000686645508,22.700000762939453,33.150001525878906,,46.9900016784668,42.40986633300781
2018-10-05,17.463333129882812,2.680000066757202,,6.260000228881836,,,1.8700000047683716,9.119999885559082,67.46499633789062,,,94.48249816894531,,36.439998626708984,3.0199999809265137,6.6666669845581055,56.0724983215332,11.470000267028809,30.229999542236328,27.350000381469727,21.780000686645508,32.93000030517578,,47.95000076293945,42.609107971191406
2018-10-08,16.70400047302246,2.8399999141693115,,6.039999961853027,,,1.8600000143051147,9.260000228881836,66.44249725341797,,,93.22100067138672,,35.900001525878906,2.8499999046325684,7.25,55.942501068115234,11.40999984741211,30.270000457763672,26.459999084472656,21.190000534057617,33.0099983215332,,47.91999816894531,42.96015167236328
2018-10-09,17.520000457763672,2.680000066757202,,7.389999866485596,,,1.8600000143051147,8.949999809265137,66.38500213623047,,,93.51599884033203,,33.54999923706055,2.7100000381469727,7.425000190734863,56.717498779296875,11.319999694824219,29.979999542236328,27.239999771118164,22.34000015258789,32.36000061035156,,48.54999923706055,43.14041519165039
