Date,Ticker,5_Days_Before,4_Days_Before,3_Days_Before,2_Days_Before,1_Day_Before,Day_Of,1_Day_After
2021-10-01,LU,7.16,7.2,7.08,7.05,6.98,7.1,6.88
2022-01-01,LU,5.77,5.5,5.19,5.65,5.63,5.66,5.66
2022-04-01,LU,6.02,6.0,5.95,5.81,5.57,5.69,6.06
2022-07-01,LU,6.34,6.28,6.19,6.13,6.0,6.21,5.99
2022-10-01,LU,3.01,2.88,2.89,2.52,2.54,2.53,2.53
2023-01-01,LU,2.17,1.9,2.0,1.94,1.94,2.08,2.08
2023-04-01,LU,1.91,1.94,2.03,2.12,2.04,2.09,2.09
2023-07-01,LU,1.39,1.51,1.52,1.46,1.43,1.51,1.51
2023-10-01,LU,1.09,1.1,1.06,1.06,1.06,1.06,1.06
2020-12-01,PLTR,29.05,27.66,27.66,27.66,27.11,25.67,22.51
2021-03-01,PLTR,26.39,23.96,23.9,23.9,23.9,24.81,24.48
2021-06-01,PLTR,22.7,22.95,22.95,22.95,22.95,23.06,24.45
2021-09-01,PLTR,25.71,25.71,25.71,25.76,26.34,26.2,26.51
2021-12-01,PLTR,21.03,21.03,21.03,21.07,20.65,19.38,19.69
2022-03-01,PLTR,11.83,11.47,11.47,11.47,11.85,12.18,12.06
2022-06-01,PLTR,8.85,8.85,8.85,8.85,8.68,8.46,9.3
2022-09-01,PLTR,7.94,7.94,7.81,7.79,7.72,7.49,7.4
2022-12-01,PLTR,7.28,7.28,7.16,7.08,7.5,7.86,7.66
2023-03-01,PLTR,8.09,8.09,8.09,8.03,7.84,7.69,7.97
2023-06-01,PLTR,13.65,13.65,13.65,14.71,14.71,14.54,14.52
2023-09-01,PLTR,14.53,14.64,15.4,16.33,14.98,15.18,15.21
2023-11-14,PLTR,18.27,19.67,19.67,19.67,19.71,19.94,19.95
2018-11-01,PLUG,1.83,1.83,1.8,1.84,1.85,1.89,1.9
2019-02-01,PLUG,1.36,1.37,1.4,1.39,1.37,1.34,1.38
2019-05-01,PLUG,2.52,2.52,2.52,2.53,2.49,2.51,2.46
2019-08-01,PLUG,2.25,2.25,2.25,2.24,2.21,2.15,2.15
2019-11-01,PLUG,2.98,2.92,2.75,2.64,2.65,2.78,2.79
2020-02-01,PLUG,3.81,4.08,4.04,3.99,3.87,3.85,3.85
2020-05-01,PLUG,4.4,4.5,4.44,4.42,4.18,3.92,4.09
2020-08-01,PLUG,8.35,8.06,8.19,7.97,7.71,9.16,9.16
2020-11-01,PLUG,14.79,14.8,14.81,14.0,14.0,15.47,15.47
2021-02-01,PLUG,64.42,65.28,63.17,63.17,63.17,63.85,64.25
2021-05-01,PLUG,29.29,28.55,28.86,28.27,28.51,26.63,26.63
2021-08-01,PLUG,26.55,27.83,27.2,27.28,27.28,26.62,26.62
2021-11-01,PLUG,34.41,37.11,38.27,38.27,38.27,41.65,41.23
2022-02-01,PLUG,18.26,18.76,18.76,18.76,21.87,22.9,21.84
2022-05-01,PLUG,22.32,22.13,21.74,21.02,21.02,21.7,21.7
2022-08-01,PLUG,17.18,21.63,21.34,21.34,21.34,21.24,23.23
2022-11-01,PLUG,16.07,16.09,16.09,16.09,15.98,15.69,14.72
2023-02-01,PLUG,15.86,15.86,15.86,15.71,17.02,17.68,17.89
2023-05-01,PLUG,8.47,8.97,9.03,9.03,9.03,8.83,8.59
2023-08-01,PLUG,11.65,11.86,11.86,11.86,13.12,12.76,11.65
2023-11-01,PLUG,5.9,5.9,5.9,5.7,5.89,5.75,6.27
2018-11-01,F,8.98,8.98,9.28,9.46,9.55,9.29,9.38
2019-02-01,F,8.86,8.66,8.76,8.71,8.8,8.72,8.7
2019-05-01,F,10.41,10.41,10.41,10.32,10.45,10.3,10.34
2019-08-01,F,9.57,9.57,9.6,9.55,9.53,9.31,9.28
2019-11-01,F,8.72,8.61,8.64,8.54,8.59,8.89,9.0
2020-02-01,F,8.89,8.97,8.86,8.84,8.82,8.98,8.98
2020-05-01,F,4.87,5.17,5.38,5.26,5.09,4.92,4.86
2020-08-01,F,6.93,7.01,6.92,6.74,6.61,6.69,6.69
2020-11-01,F,7.92,7.7,7.9,7.73,7.73,7.71,7.71
2021-02-01,F,10.79,10.72,10.53,10.53,10.53,10.83,10.86
2021-05-01,F,12.27,12.49,12.43,11.26,11.54,11.63,11.63
2021-08-01,F,13.79,13.86,14.39,13.95,13.95,13.91,13.91
2021-11-01,F,15.51,16.86,17.08,17.08,17.08,17.95,18.01
2022-02-01,F,19.55,19.54,19.54,19.54,20.3,20.66,20.63
2022-05-01,F,14.71,14.85,14.62,14.16,14.16,14.27,14.27
2022-08-01,F,13.19,14.0,14.69,14.69,14.69,15.34,15.16
2022-11-01,F,13.0,13.26,13.26,13.26,13.37,13.4,13.06
2023-02-01,F,13.27,13.27,13.27,12.89,13.51,13.79,14.32
2023-05-01,F,11.54,11.61,11.88,11.88,11.88,12.06,11.8
2023-08-01,F,13.73,13.26,13.26,13.26,13.21,13.42,13.04
2023-11-01,F,9.96,9.96,9.96,9.77,9.75,9.91,10.14
2018-11-01,BAC,26.39,26.39,26.61,26.78,27.5,27.81,27.89
2019-02-01,BAC,29.58,29.63,29.39,29.07,28.47,28.38,28.88
2019-05-01,BAC,30.35,30.35,30.35,30.77,30.58,30.26,30.5
2019-08-01,BAC,30.77,30.77,30.52,30.89,30.68,29.49,29.38
2019-11-01,BAC,31.72,31.84,32.07,31.62,31.27,31.8,32.4
2020-02-01,BAC,32.85,33.24,33.01,33.48,32.83,32.97,32.97
2020-05-01,BAC,22.18,23.47,23.89,24.78,24.05,23.08,22.93
2020-08-01,BAC,24.14,24.36,25.27,24.84,24.88,24.99,24.99
2020-11-01,BAC,23.85,23.47,23.54,23.7,23.7,24.08,24.08
2021-02-01,BAC,29.83,30.32,29.65,29.65,29.65,29.96,31.03
2021-05-01,BAC,39.41,39.88,40.03,41.11,40.53,40.56,40.56
2021-08-01,BAC,37.98,38.13,38.68,38.36,38.36,37.96,37.96
2021-11-01,BAC,47.04,47.78,47.78,47.78,47.78,47.85,47.88
2022-02-01,BAC,45.47,45.87,45.87,45.87,46.14,46.94,46.89
2022-05-01,BAC,36.45,36.25,36.81,35.68,35.68,36.14,36.14
2022-08-01,BAC,33.59,33.32,33.81,33.81,33.81,33.71,33.04
2022-11-01,BAC,35.87,36.18,36.18,36.18,36.04,36.2,36.09
2023-02-01,BAC,35.45,35.45,35.45,35.3,35.48,35.92,36.13
2023-05-01,BAC,28.44,28.89,29.28,29.28,29.28,29.04,28.16
2023-08-01,BAC,31.95,31.9,31.9,31.9,32.0,31.62,31.19
2023-11-01,BAC,25.17,25.17,25.17,25.69,26.34,26.4,27.62
2018-11-01,AMD,17.63,17.63,16.85,17.2,18.21,20.22,20.23
2019-02-01,AMD,21.93,20.18,19.25,23.09,24.41,24.51,24.13
2019-05-01,AMD,27.88,27.88,27.88,27.69,27.63,26.81,28.29
2019-08-01,AMD,34.02,34.02,33.48,33.87,30.45,29.86,29.44
2019-11-01,AMD,32.71,33.69,33.03,33.13,33.93,34.89,36.29
2020-02-01,AMD,49.26,50.53,47.51,48.78,47.0,48.02,48.02
2020-05-01,AMD,56.18,56.49,55.51,53.66,52.39,49.88,52.56
2020-08-01,AMD,68.97,67.61,76.09,78.2,77.43,77.67,77.67
2020-11-01,AMD,78.88,76.4,78.02,75.29,75.29,74.7,74.7
2021-02-01,AMD,88.84,87.52,85.64,85.64,85.64,87.66,88.86
2021-05-01,AMD,85.41,85.21,84.02,83.91,81.62,78.55,78.55
2021-08-01,AMD,91.03,97.93,102.95,106.19,106.19,108.63,108.63
2021-11-01,AMD,122.28,121.16,120.23,120.23,120.23,125.23,127.63
2022-02-01,AMD,102.6,105.24,105.24,105.24,114.25,116.78,122.76
2022-05-01,AMD,85.16,84.91,89.64,85.52,85.52,89.84,89.84
2022-08-01,AMD,89.82,91.67,94.47,94.47,94.47,96.78,99.29
2022-11-01,AMD,58.6,62.01,62.01,62.01,60.06,59.66,58.63
2023-02-01,AMD,75.4,75.4,75.4,72.45,75.15,84.64,88.31
2023-05-01,AMD,85.94,87.44,89.37,89.37,89.37,89.69,89.91
2023-08-01,AMD,111.1,112.96,112.96,112.96,114.4,117.6,109.35
2023-11-01,AMD,96.43,96.43,96.43,96.18,98.5,108.04,107.83
2018-11-01,AMZN,82.14,82.14,76.94,76.52,79.9,83.28,83.28
2019-02-01,AMZN,83.53,81.89,79.69,83.52,85.94,81.31,81.67
2019-05-01,AMZN,97.53,97.53,97.53,96.92,96.33,95.58,95.04
2019-08-01,AMZN,97.15,97.15,95.62,94.93,93.34,92.77,91.16
2019-11-01,AMZN,88.07,88.85,88.14,89.0,88.83,89.57,90.23
2020-02-01,AMZN,91.42,92.66,92.9,93.53,100.44,100.21,100.21
2020-05-01,AMZN,120.51,118.8,115.7,118.64,123.7,114.3,115.8
2020-08-01,AMZN,152.76,150.02,151.68,152.59,158.23,155.59,155.59
2020-11-01,AMZN,164.32,158.14,160.55,151.81,151.81,150.22,150.22
2021-02-01,AMZN,161.63,161.88,160.31,160.31,160.31,167.14,169.0
2021-05-01,AMZN,170.45,170.87,172.93,173.57,173.37,169.32,169.32
2021-08-01,AMZN,181.32,181.52,180.0,166.38,166.38,166.57,166.57
2021-11-01,AMZN,169.62,172.33,168.62,168.62,168.62,165.91,165.64
2022-02-01,AMZN,139.64,143.98,143.98,143.98,149.57,151.19,150.61
2022-05-01,AMZN,139.39,138.17,144.6,124.28,124.28,124.5,124.5
2022-08-01,AMZN,120.97,122.28,134.95,134.95,134.95,135.39,134.16
2022-11-01,AMZN,110.96,103.41,103.41,103.41,102.44,96.79,92.12
2023-02-01,AMZN,102.24,102.24,102.24,100.55,103.13,105.15,112.91
2023-05-01,AMZN,104.98,109.82,105.45,105.45,105.45,102.05,103.63
2023-08-01,AMZN,128.25,132.21,132.21,132.21,133.68,131.69,128.21
2023-11-01,AMZN,127.74,127.74,127.74,132.71,133.09,137.0,138.07
2018-11-01,AAPL,54.08,54.08,53.06,53.33,54.72,55.56,51.87
2019-02-01,AAPL,39.44,39.08,38.67,41.31,41.61,41.63,42.81
2019-05-01,AAPL,51.08,51.08,51.08,51.15,50.17,52.63,52.29
2019-08-01,AAPL,51.94,51.94,52.42,52.19,53.26,52.11,51.01
2019-11-01,AAPL,61.65,62.26,60.82,60.81,62.19,63.96,64.38
2020-02-01,AAPL,77.24,79.42,81.08,80.97,77.38,77.17,77.17
2020-05-01,AAPL,70.74,70.79,69.64,71.93,73.45,72.27,73.29
2020-08-01,AAPL,94.81,93.25,95.04,96.19,106.26,108.94,108.94
2020-11-01,AAPL,116.6,111.2,115.32,108.86,108.86,108.77,108.77
2021-02-01,AAPL,142.06,137.09,131.96,131.96,131.96,134.14,134.99
2021-05-01,AAPL,134.72,134.39,133.58,133.48,131.46,132.54,132.54
2021-08-01,AAPL,146.77,144.98,145.64,145.86,145.86,145.52,145.52
2021-11-01,AAPL,148.85,152.57,149.8,149.8,149.8,148.96,150.02
2022-02-01,AAPL,159.22,170.33,170.33,170.33,174.78,174.61,175.84
2022-05-01,AAPL,156.8,156.57,163.64,157.65,157.65,157.96,157.96
2022-08-01,AAPL,156.79,157.35,162.51,162.51,162.51,161.51,160.01
2022-11-01,AAPL,144.8,155.74,155.74,155.74,153.34,150.65,145.03
2023-02-01,AAPL,145.93,145.93,145.93,143.0,144.29,145.43,150.82
2023-05-01,AAPL,163.76,168.41,169.68,169.68,169.68,169.59,168.54
2023-08-01,AAPL,193.22,195.83,195.83,195.83,196.45,195.61,192.58
2023-11-01,AAPL,168.22,168.22,168.22,170.29,170.77,173.97,177.57
2022-02-01,RIVN,53.94,57.12,57.12,57.12,65.74,69.62,64.32
2022-05-01,RIVN,30.68,31.22,32.18,30.24,30.24,31.74,31.74
2022-08-01,RIVN,32.01,33.85,34.3,34.3,34.3,34.81,35.01
2022-11-01,RIVN,34.5,34.48,34.48,34.48,34.97,33.48,31.52
2023-02-01,RIVN,19.83,19.83,19.83,18.04,19.4,19.71,20.88
2023-05-01,RIVN,12.04,12.67,12.82,12.82,12.82,12.65,12.68
2023-08-01,RIVN,26.05,26.94,26.94,26.94,27.64,27.3,25.91
2023-11-01,RIVN,16.01,16.01,16.01,15.72,16.22,16.13,17.59
2018-11-01,NIO,6.35,6.35,6.19,5.95,5.9,6.62,6.49
2019-02-01,NIO,6.65,6.67,6.94,7.46,7.88,7.9,7.85
2019-05-01,NIO,4.92,4.92,4.92,4.98,4.85,4.68,4.72
2019-08-01,NIO,3.51,3.51,3.46,3.38,3.47,3.28,3.27
2019-11-01,NIO,1.51,1.48,1.39,1.43,1.45,1.52,1.71
2020-02-01,NIO,4.01,4.21,4.27,4.08,3.78,4.06,4.06
