Date,TSLA,LU,PLTR,PLUG,F,BAC,AMD,AMZN,AAPL,CCL,SE,RIVN,NIO,NVDA,SOFI,MARA,SNAP,AAL,PFE,INTC,NU,GOOGL,DNA,LCID,TME
2018-11-15,23.229333877563477,,,1.840000033378601,9.3100004196167,27.899999618530273,21.489999771118164,80.97200012207031,47.852500915527344,59.849998474121094,12.460000038146973,,7.340000152587891,50.59749984741211,,2.680000066757202,6.820000171661377,37.81999969482422,40.9962043762207,48.11000061035156,,53.5525016784668,,,
2018-11-16,23.62066650390625,,,1.840000033378601,9.050000190734863,27.75,20.65999984741211,79.67050170898438,48.38249969482422,59.959999084472656,12.510000228881836,,7.190000057220459,41.10749816894531,,2.680000066757202,6.489999771118164,36.75,41.28083419799805,48.83000183105469,,53.41350173950195,,,
2018-11-19,23.564666748046875,,,1.7799999713897705,9.25,27.75,19.110000610351562,75.614501953125,46.46500015258789,59.04999923706055,12.699999809265137,,7.840000152587891,36.17499923706055,,2.559999942779541,6.050000190734863,35.81999969482422,41.916507720947266,48.0,,51.37099838256836,,,
2018-11-20,23.166000366210938,,,1.75,9.0600004196167,27.3799991607666,19.209999084472656,74.77300262451172,44.244998931884766,59.880001068115234,12.109999656677246,,7.670000076293945,37.27000045776367,,2.4800000190734863,6.090000152587891,35.59000015258789,41.299808502197266,47.38999938964844,,51.522499084472656,,,
2018-11-21,22.54599952697754,,,1.7999999523162842,9.109999656677246,27.270000457763672,18.729999542236328,75.83650207519531,44.19499969482422,60.040000915527344,12.800000190734863,,7.710000038146973,36.1775016784668,,2.440000057220459,6.349999904632568,36.310001373291016,40.891841888427734,47.029998779296875,,52.17150115966797,,,
2018-11-23,21.722000122070312,,,1.7100000381469727,9.130000114440918,26.969999313354492,19.3799991607666,75.10299682617188,43.0724983215332,60.75,12.899999618530273,,7.460000038146973,36.25,,2.319999933242798,6.199999809265137,37.95000076293945,40.92979049682617,46.540000915527344,,51.505001068115234,,,
2018-11-26,23.066667556762695,,,1.7300000190734863,9.399999618530273,27.559999465942383,20.079999923706055,79.06649780273438,43.654998779296875,61.400001525878906,12.630000114440918,,7.369999885559082,38.26250076293945,,2.359999895095825,6.5,38.099998474121094,41.119544982910156,47.45000076293945,,52.797000885009766,,,
2018-11-27,22.92799949645996,,,1.7599999904632568,9.279999732971191,27.739999771118164,21.049999237060547,79.07099914550781,43.560001373291016,60.54999923706055,13.329999923706055,,7.480000019073486,38.432498931884766,,2.4000000953674316,6.400000095367432,38.290000915527344,41.8121452331543,48.06999969482422,,52.61399841308594,,,
2018-11-28,23.191333770751953,,,1.7799999713897705,9.40999984741211,28.43000030517578,21.34000015258789,83.88749694824219,45.23500061035156,61.939998626708984,13.25,,8.119999885559082,40.01750183105469,,2.640000104904175,6.510000228881836,38.939998626708984,42.5996208190918,48.86000061035156,,54.589500427246094,,,
2018-11-29,22.744667053222656,,,1.7699999809265137,9.369999885559082,28.040000915527344,21.43000030517578,83.67849731445312,44.88750076293945,60.72999954223633,12.899999618530273,,7.789999961853027,39.34000015258789,,2.5999999046325684,6.400000095367432,38.41999816894531,43.178367614746094,47.70000076293945,,54.729000091552734,,,
2018-11-30,23.365333557128906,,,1.75,9.40999984741211,28.399999618530273,21.299999237060547,84.50849914550781,44.64500045776367,60.290000915527344,13.34000015258789,,7.710000038146973,40.85749816894531,,2.4800000190734863,6.510000228881836,40.15999984741211,43.861480712890625,49.310001373291016,,55.48249816894531,,,
2018-12-03,23.89933204650879,,,1.7000000476837158,9.600000381469727,28.540000915527344,23.709999084472656,88.61799621582031,46.20500183105469,61.08000183105469,13.289999961853027,,7.579999923706055,42.5099983215332,,2.440000057220459,6.360000133514404,39.650001525878906,43.6337776184082,50.130001068115234,,55.81800079345703,,,
2018-12-04,23.979999542236328,,,1.690000057220459,9.180000305175781,26.989999771118164,21.1200008392334,83.41999816894531,44.17250061035156,58.29999923706055,12.449999809265137,,7.079999923706055,39.27750015258789,,2.319999933242798,6.210000038146973,36.689998626708984,42.82732391357422,47.75,,53.12350082397461,,,
2018-12-06,24.20400047302246,,,1.6200000047683716,9.020000457763672,26.280000686645508,21.299999237060547,84.95950317382812,43.68000030517578,58.900001525878906,12.4399995803833,,7.369999885559082,39.5724983215332,,2.240000009536743,5.96999979019165,36.939998626708984,42.67552185058594,48.369998931884766,,53.90399932861328,,,
2018-12-07,23.864667892456055,,,1.5700000524520874,8.819999694824219,25.43000030517578,19.459999084472656,81.45649719238281,42.122501373291016,56.72999954223633,12.100000381469727,,6.989999771118164,36.90250015258789,,2.0,5.800000190734863,33.56999969482422,41.669830322265625,46.2400016784668,,52.32899856567383,,,
2018-12-10,24.343332290649414,,,1.5,8.520000457763672,24.760000228881836,19.989999771118164,82.05149841308594,42.400001525878906,56.349998474121094,11.8100004196167,,7.03000020980835,37.96500015258789,,2.0,5.670000076293945,33.84000015258789,42.12523651123047,47.209999084472656,,52.659000396728516,,,
2018-12-11,24.450666427612305,,,1.5,8.539999961853027,24.579999923706055,19.979999542236328,82.16200256347656,42.157501220703125,56.06999969482422,12.0,,7.079999923706055,37.04750061035156,,2.0,5.75,34.099998474121094,41.755218505859375,47.380001068115234,,53.08250045776367,,,
2018-12-12,24.440000534057617,,,1.4600000381469727,8.640000343322754,24.520000457763672,20.479999542236328,83.177001953125,42.275001525878906,56.52000045776367,12.229999542236328,,7.539999961853027,37.224998474121094,,2.0799999237060547,5.909999847412109,34.349998474121094,41.89753341674805,47.83000183105469,,53.686500549316406,,,14.0
